t,wt,ql,sd
1475.0,128.56756756756758,5.5,4.235702585778518
1480.0,131.5810810810811,5.6875,3.653565885707432
1485.0,125.61290322580645,5.6875,3.4195399477136825
1490.0,126.67763157894737,5.4375,4.038997848858546
1495.0,123.68707482993197,4.6875,4.297110768605306
1500.0,121.53793103448275,4.75,5.006685135422096
1505.0,124.13793103448276,4.75,4.676202280844878
1510.0,125.35211267605634,4.5625,4.123527714883752
1515.0,122.8273381294964,5.4375,2.7443434317279123
1520.0,125.22962962962963,6.25,2.2533286148940213
1525.0,125.2536231884058,6.625,1.9157255008496261
1530.0,125.4225352112676,6.5625,2.0342561053160204
1535.0,129.33098591549296,7.1875,1.9731028161149147
1540.0,133.40140845070422,7.0,1.9560559499162344
1545.0,133.4041095890411,6.5625,2.2928902611505495
1550.0,135.05555555555554,5.625,3.2255575138243113
1555.0,135.73758865248226,4.4375,4.379068831057738
1560.0,136.88489208633092,3.6875,5.084965564049202
1565.0,133.91489361702128,3.25,5.9281575534294575
1570.0,131.42361111111111,2.75,6.633638537737773
1575.0,130.74647887323943,2.75,6.883058627478714
1580.0,126.21678321678321,3.0,6.436440367211798
1585.0,127.58450704225352,3.75,4.980094645065298
1590.0,130.04929577464787,4.4375,4.061824957393818
1595.0,129.22602739726028,5.4375,3.6576084451227375
1600.0,132.46206896551723,5.875,3.2636974852489717
1605.0,128.47333333333333,6.3125,3.3800803641400643
1610.0,129.8310810810811,5.9375,3.565358816254261
1615.0,130.13194444444446,5.125,4.274131689996049
1620.0,132.22302158273382,4.8125,4.118146552950885
1625.0,131.48936170212767,5.25,3.6998210874796045
1630.0,134.35,5.125,3.387260790354076
1635.0,136.61764705882354,6.0625,2.7230026372884506
1640.0,140.14814814814815,6.25,2.1191838157985425
1645.0,143.98518518518517,6.3125,1.934564563530652
1650.0,143.41007194244605,6.3125,2.782071894895239
1655.0,147.13669064748203,6.5625,2.881906667396726
1660.0,150.88489208633092,6.375,2.667899499288355
1665.0,153.3840579710145,6.0625,2.395095670875427
1670.0,153.4,5.125,3.1923420268448357
1675.0,136.49264705882354,3.625,5.116866090454952
1680.0,136.34328358208955,3.0625,5.699333305797287
1685.0,136.77443609022558,3.25,5.41330715613323
1690.0,138.81954887218046,3.1875,5.3921994943532505
1695.0,136.1640625,3.25,5.3848917114325285
1700.0,132.2824427480916,3.375,5.021996467164623
1705.0,133.0390625,3.4375,4.8043847945798985
1710.0,134.9448818897638,3.625,4.228046880720901
1715.0,137.03968253968253,4.8125,3.6896487221554297
1720.0,138.43548387096774,5.25,3.091792146261843
1725.0,133.48387096774192,5.5625,2.438796880954749
1730.0,137.3008130081301,5.625,2.531923668043641
1735.0,132.6637168141593,5.5,2.082031885913797
1740.0,135.28181818181818,5.1875,2.4942080846102574
1745.0,129.60169491525423,5.5625,2.465074300940149
1750.0,132.97457627118644,5.0625,3.383362854882433
1755.0,134.82051282051282,4.875,2.938714301597093
1760.0,138.30769230769232,5.125,2.9631099157230256
