net,arch,path,avg_wait_time,total_stopped,avg_speed,method,pr,category
MoCo,ppo,0.05,89.26830892608089,24.00784518828452,1.8939080368477372,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,97.92582635983263,19.420676429567642,2.674475897461351,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,73.34035739191074,21.945432357043234,2.349375354744057,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,38.538779637377964,17.326534170153415,3.183592885274563,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,41.34378486750349,22.00244072524407,2.4936074074319046,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,71.19152719665271,22.921896792189678,1.7464800971652414,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,70.58345013947002,20.418061366806135,2.7909141781471742,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,125.93131276150629,25.541143654114364,1.1476654233051795,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,148.7903608786611,26.636506276150627,1.9020907523454473,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,ppo,0.05,39.56826534170153,19.521617852161786,2.5696042948658335,MAPO-PPO,5%,MAPO-PPO/5%
MoCo,uniform,uniform,5.254198047419806,13.081938633193863,2.992539134693097,Fixed time,FO,Fixed time
MoCo,uniform,uniform,5.58068340306834,13.946478382147838,2.9128888018942343,Fixed time,FO,Fixed time
MoCo,uniform,uniform,5.288068340306834,13.608612273361228,2.9363182311989715,Fixed time,FO,Fixed time
MoCo,uniform,uniform,5.253155509065551,13.026673640167363,2.9860285313121815,Fixed time,FO,Fixed time
MoCo,uniform,uniform,5.791997907949791,13.980822873082287,2.8838054121638157,Fixed time,FO,Fixed time
MoCo,uniform,uniform,5.789100418410042,13.940899581589958,2.9149682002339703,Fixed time,FO,Fixed time
MoCo,uniform,uniform,4.8934658298465825,12.887377963737796,3.0086131054383323,Fixed time,FO,Fixed time
MoCo,uniform,uniform,5.638702928870293,13.839435146443515,2.8943813892693435,Fixed time,FO,Fixed time
MoCo,uniform,uniform,5.702637726638773,14.429741980474198,2.8832006763243148,Fixed time,FO,Fixed time
MoCo,uniform,uniform,5.478755230125523,13.816248256624826,2.909139054091716,Fixed time,FO,Fixed time
MoCo,maxpressure,maxpressure,3.44013249651325,6.433926080892608,3.188654072066883,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,2.639335774058577,5.900627615062762,3.4386057867763338,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,1.770108089260809,4.8260111576011155,3.57214363164405,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,3.4754480474198046,7.051255230125523,3.1278876153799633,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,4.106694560669456,7.780857740585774,3.090368895754879,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,1.3736087866108786,4.205020920502092,3.736410484166529,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,1.2983019525801953,3.99860529986053,3.7176237458763284,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,1.6262709205020922,4.247733612273361,3.684523222345078,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,2.28532949790795,5.793061366806136,3.38980554463728,MaxPressure,FO,MaxPressure
MoCo,maxpressure,maxpressure,2.0022315202231518,4.945258019525802,3.515209795597087,MaxPressure,FO,MaxPressure
MoCo,websters,websters,4.075983263598326,6.578974895397489,3.3040864395217944,Websters,FO,Websters
MoCo,websters,websters,3.669260808926081,6.711994421199442,3.2041670518679646,Websters,FO,Websters
MoCo,websters,websters,3.8031258716875866,6.291143654114365,3.399403033369324,Websters,FO,Websters
MoCo,websters,websters,4.0161558577405865,7.458856345885635,3.1284218180257644,Websters,FO,Websters
MoCo,websters,websters,3.8498134588563455,6.753486750348675,3.218633264673462,Websters,FO,Websters
MoCo,websters,websters,3.8528591352859136,6.676952580195258,3.32636607244987,Websters,FO,Websters
MoCo,websters,websters,3.6396025104602514,6.514295676429568,3.2570259299648807,Websters,FO,Websters
MoCo,websters,websters,3.495819386331939,6.525976290097629,3.1850868987717815,Websters,FO,Websters
MoCo,websters,websters,3.9149721059972102,6.457112970711297,3.2644712143979997,Websters,FO,Websters
MoCo,websters,websters,4.059687935843794,6.799860529986053,3.371902077817817,Websters,FO,Websters
